cluster_id,application,regime,information_condition,environment_seed,sketch_policy,incidents,agents,sketch_messages,sketch_bytes,sketch_latency,operational_messages,operational_bytes,maximum_conservation_residual,conservation_feasible,event_count,event_ledger_digest,stochastic_tape_digest,run_id,status,no_communication_loss,fixed_communication_loss,coordination_loss_reduction,coordination_changed_outcome,fixed_operational_messages,fixed_operational_bytes,fixed_accepted_actions,fixed_service_reaching_actions,fixed_negotiations,fixed_commitment_revisions,bounded_oracle_loss,bounded_oracle_effect,bounded_oracle_interventions,bounded_oracle_operator_minutes,bounded_oracle_harmful,complete_causal_chains,candidate_count,beneficial_candidates,harmful_candidates
commercial|nominal|private_fragmented|50901,commercial,nominal,private_fragmented,50901,event_triggered,4,12,45,8064,0.09,12,1485,0.0,True,212,0826bff3b018a6a87041fd49642b2fbce6966ea5a54d89acf0d4d57117a88523,6fb83bdfaff5bdd26c2c2798591fc194772f31397a69479eafc711a5d0ccbe33,v5-commercial-nominal-private_fragmented-event_triggered-e50901,complete,1.5787957031561728,1.5787957031561728,0.0,False,12,1485,4,4,4,2,1.442450928028762,0.13634477512741072,2,18.0,0,2,36,4,28
commercial|nominal|private_fragmented|50902,commercial,nominal,private_fragmented,50902,event_triggered,4,12,40,7159,0.08000000000000002,12,1437,0.0,True,204,f314f004d1a290569cef2517e75c1e4806baed3208086716d8e5ab88b09b621a,8df6370c1776ad3df24da48b09bb62ee474f080b0017baf2266d1513f79084c6,v5-commercial-nominal-private_fragmented-event_triggered-e50902,complete,1.948332344928072,1.629263839521534,0.3190685054065381,True,12,1437,3,3,4,2,1.510475650214162,0.11878818930737184,2,12.0,0,2,36,5,27
commercial|nominal|private_fragmented|50903,commercial,nominal,private_fragmented,50903,event_triggered,4,12,45,8068,0.09,12,1428,0.0,True,210,c3a28171eef68af16adc8e0610660b5eecc1d19fc65a0b78c1e09fe3cc6485b4,2acacb1edc24bd9bd31d9b5c7de26007f0ff14406ceb1f64de9da5b71e065f06,v5-commercial-nominal-private_fragmented-event_triggered-e50903,complete,1.5677929396170358,1.5677929396170358,0.0,False,12,1428,3,3,4,1,1.4383784495657408,0.12941449005129496,2,11.0,0,0,36,6,26
commercial|nominal|private_fragmented|50904,commercial,nominal,private_fragmented,50904,event_triggered,4,12,52,9290,0.10400000000000001,12,1431,0.0,True,219,28a9b882e9386e89d18f04fff7addff54f9fd6dca35299416912f32ba8bc096d,f45d15a7b375a6156b1ab15a2ca17579b7b46159c07b39e7dce47a81fc6ed153,v5-commercial-nominal-private_fragmented-event_triggered-e50904,complete,1.1932939578065287,1.1932939578065287,0.0,False,12,1431,4,3,4,1,1.0967341443589613,0.09655981344756731,2,22.0,0,0,36,4,28
commercial|nominal|public_shared|50901,commercial,nominal,public_shared,50901,event_triggered,4,12,38,6797,0.076,12,1419,0.0,True,203,ef8784b41891d1e7e901680f4d16885b5520c3871f21a427acf3ecdba00edda6,734c6f8840b8620ca36dc1574e25b27bdd2360d35363fdcae5b74c6bf30d3d30,v5-commercial-nominal-public_shared-event_triggered-e50901,complete,1.4878906216008176,1.4878906216008176,0.0,False,12,1419,4,3,4,3,1.3670164103284455,0.12087421127237208,2,18.0,0,1,36,4,28
commercial|nominal|public_shared|50902,commercial,nominal,public_shared,50902,event_triggered,4,12,45,8044,0.09000000000000001,12,1449,0.0,True,212,4cb19f2c3b162083ae96334c6db168795be0ef97f169c81d0857cf6188020eba,4efe2762f4f37a98ac4a489a2bae05487441a590adc22ad35aaac066d73c3ceb,v5-commercial-nominal-public_shared-event_triggered-e50902,complete,1.4897850536819914,1.4897850536819914,0.0,False,12,1449,4,4,4,1,1.3676391474811487,0.1221459062008427,2,16.0,0,0,36,4,28
commercial|nominal|public_shared|50903,commercial,nominal,public_shared,50903,event_triggered,4,12,46,8233,0.09200000000000001,12,1413,0.0,True,213,634170f416806868a65bfa9892552cadafb00f43ba565399392797a41b9fc78a,ce2cf20ae58e354cc139a239a0755c28c78d0e25bb36c4e86311277d5d66ad89,v5-commercial-nominal-public_shared-event_triggered-e50903,complete,1.6125420771042558,1.6125420771042558,0.0,False,12,1413,4,4,4,1,1.4788826569907534,0.13365942011350246,2,18.0,0,1,36,4,28
commercial|nominal|public_shared|50904,commercial,nominal,public_shared,50904,event_triggered,4,12,48,8601,0.096,12,1488,0.0,True,211,969430f5b092c6bb201c06f0d303676c63d55bc351cd49b139baea0377cdd706,e9b738bfaf2d0c3e9031254f165f3a2ef16a7ab5d7bf36a19efb8b072c2f9b7a,v5-commercial-nominal-public_shared-event_triggered-e50904,complete,1.5394612392262685,1.5394612392262685,0.0,False,12,1488,4,2,4,1,1.429311820557407,0.11014941866886169,2,16.0,0,1,36,4,28
commercial|isolated_physical|private_fragmented|50901,commercial,isolated_physical,private_fragmented,50901,event_triggered,4,12,42,7545,0.08399999999999999,12,1449,0.0,True,209,dd0a991ac23d1cf358857d1d0a974279aa25a666147e77a0fb54fea4c0095fc0,4e6bb08e1e737c3bbb80c8145d396dac15d74b1b5795a53b742451402d5df0ea,v5-commercial-isolated_physical-private_fragmented-event_triggered-e50901,complete,2.180698643612543,2.180698643612543,0.0,False,12,1449,4,4,4,1,1.9920005319427856,0.1886981116697573,2,18.0,0,2,36,4,28
commercial|isolated_physical|private_fragmented|50902,commercial,isolated_physical,private_fragmented,50902,event_triggered,4,12,53,9493,0.106,12,1482,0.0,True,220,bf701817c382c0ad8bd05691941ffdc6656550ef21bc687aca37ea03e2af6142,b64ba0b8ab1f2eab13446d38989bf21aa3872c76c846455394b948516717bf69,v5-commercial-isolated_physical-private_fragmented-event_triggered-e50902,complete,2.3850506452048745,2.3850506452048745,0.0,False,12,1482,4,4,4,2,2.209134322387597,0.17591632281727754,2,18.0,0,2,36,4,28
