cluster_id,application,regime,information_condition,environment_seed,sketch_policy,incidents,agents,sketch_messages,sketch_bytes,sketch_latency,operational_messages,operational_bytes,maximum_conservation_residual,conservation_feasible,event_count,event_ledger_digest,stochastic_tape_digest,run_id,status,no_communication_loss,fixed_communication_loss,coordination_loss_reduction,coordination_changed_outcome,fixed_operational_messages,fixed_operational_bytes,fixed_accepted_actions,fixed_service_reaching_actions,fixed_negotiations,fixed_commitment_revisions,bounded_oracle_loss,bounded_oracle_effect,bounded_oracle_interventions,bounded_oracle_operator_minutes,bounded_oracle_harmful,complete_causal_chains,candidate_count,beneficial_candidates,harmful_candidates
commercial|telemetry_integrity|private_fragmented|51201,commercial,telemetry_integrity,private_fragmented,51201,none,4,12,0,0,0.4,12,1494,0.0,True,164,e7381b5513f629d8fa875330e2b558665fa62e7944194dd60ce6f78d87d941e8,7ac13ffd2bb2d7a770c3a393fafed593e4d2b012468d7aaf680992175ff2aa8a,v5-commercial-telemetry_integrity-private_fragmented-none-e51201,complete,3.2562225983927346,3.0637138646357167,0.19250873375701794,True,12,1494,3,2,4,1,2.375808457315421,0.687905407320296,2,13.0,0,2,36,10,22
commercial|telemetry_integrity|private_fragmented|51202,commercial,telemetry_integrity,private_fragmented,51202,none,4,12,0,0,0.4,12,1431,0.0,True,164,d026344508611eff4b2e88c173838646db7a2dbbed9afadec5cbcd714f7ee9ce,e73b9787a90dba47b02d03220ce84f529ad212ce09c538541b7b78cfd90fc064,v5-commercial-telemetry_integrity-private_fragmented-none-e51202,complete,3.311435318975617,3.008029997696437,0.30340532127917985,True,12,1431,3,3,4,0,2.5677586480867944,0.44027134960964276,2,15.0,0,2,36,7,25
commercial|telemetry_integrity|private_fragmented|51203,commercial,telemetry_integrity,private_fragmented,51203,none,4,12,0,0,0.4,12,1488,0.0,True,165,da81bb57f2ea37562c9a6023ab319ea77e0969871053ea3c933a72f5b44a66b5,17a11ab8c0583b52e83cc8a7d27d50a4bc0e24b3280de68e9f0d1f071d4d001e,v5-commercial-telemetry_integrity-private_fragmented-none-e51203,complete,3.2893462699130493,2.838562530571443,0.45078373934160654,True,12,1488,4,3,4,3,2.4568694997305545,0.38169303084088835,2,17.0,0,2,36,6,26
commercial|telemetry_integrity|private_fragmented|51204,commercial,telemetry_integrity,private_fragmented,51204,none,4,12,0,0,0.4,12,1455,0.0,True,167,44af5af75b4c8e38d356ba97a52a85f9b6da20c23fd9f9845634b419d8fecc5c,798ce951c0376e9d3408c655ee85ed4b9cd705b6cea8afbffb17d7908dd2eae7,v5-commercial-telemetry_integrity-private_fragmented-none-e51204,complete,3.5457821615063474,2.8336276503094764,0.712154511196871,True,12,1455,4,3,4,2,2.517511572466111,0.3161160778433654,2,12.0,0,1,36,6,26
commercial|telemetry_integrity|private_fragmented|51205,commercial,telemetry_integrity,private_fragmented,51205,none,4,12,0,0,0.4,12,1434,0.0,True,167,e2b9871c95fb08e994ab70baaac0904c2b1c1c32c0f76163b16be9e53e30e9fb,2e40ce40f6d930d07821e37d5151a7888ebd9f5cd9a35086b838ca6df6b02528,v5-commercial-telemetry_integrity-private_fragmented-none-e51205,complete,3.773262523539179,3.2796306838312823,0.4936318397078967,True,12,1434,4,2,4,2,2.6891521809637364,0.5904785028675459,2,17.0,0,2,36,10,22
commercial|telemetry_integrity|private_fragmented|51206,commercial,telemetry_integrity,private_fragmented,51206,none,4,12,0,0,0.4,12,1455,0.0,True,163,ec8e705178049ea51608f193f67aa323473a90dea7141ab78db1d1a56bf47105,228ab352cc2832ad1c28e0082d95a74bbf8870985fd2e1f7ec4687100b2b9772,v5-commercial-telemetry_integrity-private_fragmented-none-e51206,complete,2.3684904474613386,2.3684904474613386,0.0,False,12,1455,3,2,4,2,2.0949015045418844,0.2735889429194542,2,11.0,0,2,36,5,27
commercial|telemetry_integrity|private_fragmented|51207,commercial,telemetry_integrity,private_fragmented,51207,none,4,12,0,0,0.4,12,1497,0.0,True,165,dd54d64b3027c4bdf7df7964c0221fac49348a8e5e70d2079d7b426d73e43b99,aad91bf95d16c78ffa201526db7dfccbff09cca0429d7477ab474e3ba2a7a14c,v5-commercial-telemetry_integrity-private_fragmented-none-e51207,complete,2.513636878953789,2.513636878953789,0.0,False,12,1497,3,3,4,1,2.171512522661585,0.3421243562922037,2,16.0,0,2,36,6,26
commercial|telemetry_integrity|private_fragmented|51208,commercial,telemetry_integrity,private_fragmented,51208,none,4,12,0,0,0.4,12,1425,0.0,True,163,dae197865160a75d841dfbfcb6575dcd865995c50e6667b9a5fedfeed9a391da,39ce1df9401cacd4018676678050abfb4468b73ce65fe45d475cd714f9954bd3,v5-commercial-telemetry_integrity-private_fragmented-none-e51208,complete,2.905941064400689,2.905941064400689,0.0,False,12,1425,2,2,4,2,2.556280617311239,0.34966044708945,2,15.0,0,2,36,7,25
commercial|telemetry_integrity|private_fragmented|51201,commercial,telemetry_integrity,private_fragmented,51201,periodic,4,12,24,4222,0.048,12,1494,0.0,True,188,5da28fcea655e5e555d66a746c78b49dd97b12f5bd1aff7ded43f3d27dda2384,7ac13ffd2bb2d7a770c3a393fafed593e4d2b012468d7aaf680992175ff2aa8a,v5-commercial-telemetry_integrity-private_fragmented-periodic-e51201,complete,3.2562225983927346,3.0637138646357167,0.19250873375701794,True,12,1494,3,2,4,1,2.375808457315421,0.687905407320296,2,13.0,0,2,36,10,22
commercial|telemetry_integrity|private_fragmented|51202,commercial,telemetry_integrity,private_fragmented,51202,periodic,4,12,24,4229,0.048,12,1431,0.0,True,188,382b0c1175b59a0fee44012010cc112fbedceee107680d273964ab93c4b4cf54,e73b9787a90dba47b02d03220ce84f529ad212ce09c538541b7b78cfd90fc064,v5-commercial-telemetry_integrity-private_fragmented-periodic-e51202,complete,3.311435318975617,3.008029997696437,0.30340532127917985,True,12,1431,3,3,4,0,2.5677586480867944,0.44027134960964276,2,15.0,0,2,36,7,25
