application,node,x,y,role_class,status
humanitarian,depot,0.13,0.55,resource,illustrative mapping; no formal dynamic LLM trajectory
humanitarian,field team,0.34,0.76,evidence,illustrative mapping; no formal dynamic LLM trajectory
humanitarian,carrier,0.55,0.55,action,illustrative mapping; no formal dynamic LLM trajectory
humanitarian,clinic,0.82,0.76,service,illustrative mapping; no formal dynamic LLM trajectory
humanitarian,shelter,0.82,0.33,service,illustrative mapping; no formal dynamic LLM trajectory
utility,component operator,0.15,0.55,resource,illustrative mapping; no formal dynamic LLM trajectory
utility,telemetry relay,0.38,0.76,evidence,illustrative mapping; no formal dynamic LLM trajectory
utility,crew coordinator,0.59,0.55,action,illustrative mapping; no formal dynamic LLM trajectory
utility,critical load,0.84,0.76,service,illustrative mapping; no formal dynamic LLM trajectory
utility,safety monitor,0.84,0.33,service,illustrative mapping; no formal dynamic LLM trajectory
