n_agents,topology,temperature,alpha,independent_n,pathwise_irreversibility_per_update_mean,pathwise_irreversibility_per_update_ci_low,pathwise_irreversibility_per_update_ci_high
8.0,modular,1.3,0.0,4,9.76256238070115e-05,-0.00011616581878164047,0.000361330765703052
8.0,modular,1.3,0.1,4,0.0018192470535551251,0.00111225483314715,0.0025262392739631
8.0,modular,1.3,0.35,4,0.013644280167294576,0.0096188701699344,0.01766969016465475
8.0,modular,1.3,0.65,4,0.05019694033098625,0.04527284725401309,0.0551210334079594
8.0,modular,1.5,0.0,4,-0.000182621425236575,-0.00052684030015395,0.0001615974496808
8.0,modular,1.5,0.1,4,0.0006345963211565,-5.0079865791199983e-05,0.0013192725081042
8.0,modular,1.5,0.35,4,0.013338657956326974,0.010267753375089526,0.01522735343165655
8.0,modular,1.5,0.65,4,0.047479789985469825,0.0397319447935863,0.05522763517735335
8.0,modular,1.65,0.0,4,0.000102703573551514,-4.772716192000002e-05,0.00022935703361815
8.0,modular,1.65,0.1,4,0.00098721557233755,0.00039821868450497493,0.0015087650166462252
8.0,modular,1.65,0.35,4,0.011173571968109527,0.008145798109231949,0.014201345826987101
8.0,modular,1.65,0.65,4,0.0395552862469884,0.037470719044180846,0.042924904367693896
8.0,modular,1.8,0.0,4,0.000162017417475575,-0.00010276526898685,0.00043785606408212505
8.0,modular,1.8,0.1,4,0.00096886156602365,0.000512245983279825,0.0013552121766557
8.0,modular,1.8,0.35,4,0.0094251925030939,0.0080400413731453,0.01059664916823585
8.0,modular,1.8,0.65,4,0.037656422413640075,0.0324217579234708,0.04293146498267522
8.0,modular,2.1,0.0,4,-0.0001229039735113658,-0.0002740466733328,2.8935580118475e-05
8.0,modular,2.1,0.1,4,0.0006663288355687999,0.0005013649281281,0.000869796689982725
8.0,modular,2.1,0.35,4,0.00787445993870565,0.005899410361636525,0.009051349278122501
8.0,modular,2.1,0.65,4,0.034026570210397344,0.03184696498349882,0.03585482493549187
8.0,ring,1.3,0.0,4,7.980427301491802e-05,-9.766693913241436e-05,0.0003327986049978928
8.0,ring,1.3,0.1,4,0.0011294000356500875,0.00029614103931241274,0.0019925040239361
8.0,ring,1.3,0.35,4,0.01549193081798535,0.01290006868217725,0.01808379295379345
8.0,ring,1.3,0.65,4,0.05459387715653883,0.04730409143895315,0.0618836628741245
8.0,ring,1.5,0.0,4,0.00013764010972938594,-0.0001552470255853,0.0004924941716535859
8.0,ring,1.5,0.1,4,9.799194568085004e-05,-0.00077096301564375,0.0009669469070054501
8.0,ring,1.5,0.35,4,0.0141540270528554,0.010273979359082499,0.0180340747466283
8.0,ring,1.5,0.65,4,0.054488062131124095,0.052029982053122245,0.057266683467422926
8.0,ring,1.65,0.0,4,2.682357949699997e-06,-0.0003449898955236,0.000350354611423
8.0,ring,1.65,0.1,4,0.001502629938974975,0.000391008433499525,0.0023351363329063
8.0,ring,1.65,0.35,4,0.012687892343571152,0.011466237483391475,0.013371065021033624
8.0,ring,1.65,0.65,4,0.0474474490258317,0.04514947918048157,0.050225228781435025
8.0,ring,1.8,0.0,4,-0.00015402811839937292,-0.00042935613577295,0.00012129989897420414
8.0,ring,1.8,0.1,4,0.001493521279625975,0.0007646620097243999,0.00222238054952755
8.0,ring,1.8,0.35,4,0.011494033474239551,0.0091397603426742,0.012945709536066451
8.0,ring,1.8,0.65,4,0.0441124108924149,0.040457678165982947,0.050196011123332454
8.0,ring,2.1,0.0,4,-0.0001575283793468,-0.00043037051593585005,0.00015023211347215
8.0,ring,2.1,0.1,4,0.00032957070923472494,-0.00013611484155712502,0.0007229451724162999
8.0,ring,2.1,0.35,4,0.0096418113298666,0.006142873375202,0.0131407492845312
8.0,ring,2.1,0.65,4,0.0369633811646821,0.0327887218106189,0.0411380405187453
8.0,small_world,1.3,0.0,4,0.00030722881735792504,-0.00037379022853195,0.0009882478632478
8.0,small_world,1.3,0.1,4,0.0005242297113438249,9.493378166204964e-05,0.0009535256410256
8.0,small_world,1.3,0.35,4,0.002360057339727425,0.0011857560404977502,0.003635078874949675
8.0,small_world,1.3,0.65,4,0.030362904429666424,0.0170978050701448,0.04362800378918805
8.0,small_world,1.5,0.0,4,0.00020246544826232503,-0.00053517513189425,0.000777736555284675
8.0,small_world,1.5,0.1,4,0.00017597975344207502,-0.0007601639956799501,0.0012389853339619
8.0,small_world,1.5,0.35,4,0.0046743289233318,0.00265453597142495,0.00669412187523865
8.0,small_world,1.5,0.65,4,0.029104156953732023,0.021836934994959797,0.038320087867850225
8.0,small_world,1.65,0.0,4,0.00018526811274982067,-3.729367042340862e-05,0.00040782989592305
8.0,small_world,1.65,0.1,4,0.0010880266056402,0.000802121727625,0.00143675628326775
8.0,small_world,1.65,0.35,4,0.00787439348259995,0.0069943911882732,0.0090087730621806
8.0,small_world,1.65,0.65,4,0.04168577380587768,0.029881882805154074,0.05298911975839375
8.0,small_world,1.8,0.0,4,-0.0001726637263546621,-0.000504272114813,0.00015894466210367576
8.0,small_world,1.8,0.1,4,0.0011270415320534248,0.0009522193774468,0.00130186368666005
8.0,small_world,1.8,0.35,4,0.010302361274103325,0.008603501286814075,0.0125394275901759
8.0,small_world,1.8,0.65,4,0.0387700252937596,0.0299045027815886,0.0476355478059306
8.0,small_world,2.1,0.0,4,-0.00025499357922187035,-0.0009113440977615954,0.00034936959992672503
8.0,small_world,2.1,0.1,4,0.0003086230461312958,-9.329490127200853e-05,0.0007105409935346
8.0,small_world,2.1,0.35,4,0.0084514513314795,0.006505810424517351,0.00995984180091785
8.0,small_world,2.1,0.65,4,0.0419112140684316,0.03260606161842585,0.0503748094984352
16.0,modular,1.3,0.0,4,-0.00010346246280860435,-0.00046061091505077503,0.0001319098673327
16.0,modular,1.3,0.1,4,0.001134190977667475,0.0010078466915406001,0.001257494326119025
16.0,modular,1.3,0.35,4,0.013112479691364224,0.0119644189012832,0.01468402811419255
16.0,modular,1.3,0.65,4,0.049112628990460774,0.04015392985153405,0.0580713281293875
16.0,modular,1.5,0.0,4,0.000124041014613675,-0.00025192823337585,0.0005156123997680249
16.0,modular,1.5,0.1,4,0.0011235484368807,0.00064698527475615,0.0016001115990052501
16.0,modular,1.5,0.35,4,0.011317359999652875,0.0104551204507278,0.012313607215253226
16.0,modular,1.5,0.65,4,0.04384429684478815,0.0408065262659834,0.04717855966938675
16.0,modular,1.65,0.0,4,1.3949090842214283e-05,-0.00020227577535325,0.00033863832339472495
16.0,modular,1.65,0.1,4,0.001057483699530673,0.0003519561236812192,0.001568836550268
16.0,modular,1.65,0.35,4,0.010110736600291052,0.009112910518243976,0.010782196226749651
16.0,modular,1.65,0.65,4,0.03960957004828348,0.038165986724051845,0.041115934879936755
16.0,modular,1.8,0.0,4,-0.00015291009064802953,-0.00023395068847715001,-5.4913684200613586e-05
16.0,modular,1.8,0.1,4,0.000747063693958075,0.0005743460827699501,0.0009197813051461999
16.0,modular,1.8,0.35,4,0.009366600507559426,0.0078966381645993,0.010459449389939101
16.0,modular,1.8,0.65,4,0.039573797891455445,0.035741339824283555,0.043891721492799504
16.0,modular,2.1,0.0,4,7.223834198487015e-05,-0.000113763715815475,0.00026186694245469515
16.0,modular,2.1,0.1,4,0.0010704311361802751,0.0009845348744896,0.0011748901801289001
16.0,modular,2.1,0.35,4,0.0098731642083914,0.00915246181237565,0.010594740293202225
16.0,modular,2.1,0.65,4,0.031061542939963577,0.028643099113323002,0.03389528948557453
