application,communication_regime,estimator,n_timepoints,entropy_mae_vs_exact,free_energy_mae_vs_exact
commercial,intermittent,exact_evaluator_only,1560,0.0,0.0
commercial,intermittent,agent_local_distributed,1560,0.018329435206841056,0.011454613023450555
commercial,intermittent,one_period_delayed,1560,0.0549844484886514,0.027274143786316884
commercial,intermittent,noisy_distributed_sigma_0.01,1560,0.023699057857801388,0.015802441506094743
commercial,intermittent,no_entropy_estimate,1560,0.5391462905482317,0.3252262369364326
commercial,partition,exact_evaluator_only,2360,0.0,0.0
commercial,partition,agent_local_distributed,2360,0.03976094915205584,0.02484780795711097
commercial,partition,one_period_delayed,2360,0.06398141338416168,0.0345934251349804
commercial,partition,noisy_distributed_sigma_0.01,2360,0.04626682930214801,0.030406237906622
commercial,partition,no_entropy_estimate,2360,0.5788217828460014,0.2867664132463486
commercial,reliable,exact_evaluator_only,6400,0.0,0.0
commercial,reliable,agent_local_distributed,6400,0.005240005029347025,0.003274636079877842
commercial,reliable,one_period_delayed,6400,0.036037278191515566,0.015228879416080105
commercial,reliable,noisy_distributed_sigma_0.01,6400,0.010574463388032829,0.008267702961192464
commercial,reliable,no_entropy_estimate,6400,0.6001294751626454,0.26079930563711423
humanitarian,intermittent,exact_evaluator_only,1560,0.0,0.0
humanitarian,intermittent,agent_local_distributed,1560,0.02707853087602198,0.01692218494068078
humanitarian,intermittent,one_period_delayed,1560,0.059937575939071855,0.03145823724123546
humanitarian,intermittent,noisy_distributed_sigma_0.01,1560,0.035162504590842907,0.022669471149615802
humanitarian,intermittent,no_entropy_estimate,1560,0.560052671731501,0.3311574861152048
humanitarian,partition,exact_evaluator_only,2360,0.0,0.0
humanitarian,partition,agent_local_distributed,2360,0.06279889454359959,0.039244910013863335
humanitarian,partition,one_period_delayed,2360,0.08499538978670308,0.048504945467877356
humanitarian,partition,noisy_distributed_sigma_0.01,2360,0.07034832355144824,0.044924934133783984
humanitarian,partition,no_entropy_estimate,2360,0.5819081110999402,0.2965101911899212
humanitarian,reliable,exact_evaluator_only,6400,0.0,0.0
humanitarian,reliable,agent_local_distributed,6400,0.0007198994824648329,0.00044988674742904626
humanitarian,reliable,one_period_delayed,6400,0.0285339978779578,0.012291524320454777
humanitarian,reliable,noisy_distributed_sigma_0.01,6400,0.009673329707031246,0.007699210620314113
humanitarian,reliable,no_entropy_estimate,6400,0.6117017865509636,0.25547011692015253
