application,treatment,comparator,n_pairs,n_environment_seed_clusters,mean_treatment,mean_comparator,mean_improvement,relative_improvement_percent,ci95_low,ci95_high,paired_win_rate,probability_superiority,standardized_effect_dz,p_value_paired_t,p_value_sign_flip,p_value_holm
commercial,thermoagent,learned_no_entropy,72,8,16.568247857107355,16.755497750709758,0.18724989360239896,1.1175430082013953,0.048545445734607826,0.31026704215380674,0.4861111111111111,0.5902777777777778,0.9318557371377716,0.03363358475003573,0.042801556420233464,0.08560311284046693
commercial,thermoagent,autonomous_fixed_comm,72,8,16.568247857107355,15.846165035484729,-0.722082821622631,-4.556830122655243,-0.9681744334657442,-0.47807433878381494,0.1388888888888889,0.1388888888888889,-1.9041755364976463,0.001023945715000213,0.011673151750972763,0.058365758754863814
commercial,thermoagent,scripted_independent,72,8,16.568247857107355,15.887629947829176,-0.6806179092781842,-4.28394865384677,-1.148106741852634,-0.2640503819299907,0.19444444444444445,0.22916666666666669,-0.9844847283319673,0.027120366936713512,0.019455252918287938,0.058365758754863814
commercial,thermoagent,centralized_lookahead,72,8,16.568247857107355,1.198419592294244,-15.369828264813115,-1282.5080934624284,-15.770456081476185,-14.965681422877623,0.0,0.0,-24.956988708544312,3.0110513011261733e-11,0.011673151750972763,0.058365758754863814
commercial,thermoagent,centralized_llm,56,8,16.56911962008943,16.259024221515876,-0.3100953985735551,-1.907220226434007,-0.5322032672859159,-0.08839071749391571,0.375,0.5178571428571428,-0.8929988532109443,0.039475501467281134,0.06614785992217899,0.08560311284046693
humanitarian,thermoagent,learned_no_entropy,72,8,5815.830347616897,5922.337425116896,106.50707749999995,1.7983959685967692,57.89613041666665,156.5837798749999,0.5138888888888888,0.7152777777777777,1.3863496182977488,0.005740264536395199,0.019455252918287938,0.058365758754863814
humanitarian,thermoagent,autonomous_fixed_comm,72,8,5815.830347616897,5812.3557072002295,-3.474640416666691,-0.05978024387534259,-50.24686422916668,46.53702697916653,0.375,0.4861111111111111,-0.045386994098486816,0.901463550946994,0.9066147859922179,0.9066147859922179
humanitarian,thermoagent,scripted_independent,72,8,5815.830347616897,5672.708677616897,-143.1216700000001,-2.5229864273609315,-294.30731625,14.520402916666493,0.25,0.3263888888888889,-0.6039389584056671,0.13135377734257087,0.12840466926070038,0.25680933852140075
humanitarian,thermoagent,centralized_lookahead,72,8,5815.830347616897,857.5684383112724,-4958.261909305624,-578.1768180589127,-5193.084734045913,-4741.309299194666,0.0,0.0,-13.967674885397624,1.7339831735210032e-09,0.011673151750972763,0.058365758754863814
humanitarian,thermoagent,centralized_llm,56,8,6304.669324480366,6121.997586087508,-182.67173839285715,-2.9838583864846044,-248.15960892857143,-117.1812077678572,0.3392857142857143,0.48214285714285715,-1.785763906140938,0.0014783219289789097,0.011673151750972763,0.058365758754863814
